"family","n","pieces","boxes","deepest_box","agents","agents_in_coalitions","run1_seconds","run2_seconds","run3_seconds","median_runtime_seconds"
"outcomeMonotonicity","13","29","2","1","2","2","0,0001307","0,0001291","0,0001736","0,0001307"
"outcomeMonotonicity","14","31","2","1","2","2","0,0001422","0,0001311","0,00012030000000000001","0,0001311"
"outcomeMonotonicity","15","33","2","1","2","2","0,0001796","0,0001457","0,00014099999999999998","0,0001457"
"outcomeMonotonicity","16","35","2","1","2","2","0,00010499999999999999","0,0001616","0,0001757","0,0001616"
"outcomeMonotonicity","17","37","2","1","2","2","0,0002829","0,00014099999999999998","9,669999999999999E-05","0,00014099999999999998"
"outcomeMonotonicity","18","39","2","1","2","2","0,00013780000000000002","0,000114","0,0001061","0,000114"
"outcomeMonotonicity","19","41","2","1","2","2","0,0001988","0,00012529999999999998","0,0002041","0,0001988"
"outcomeMonotonicity","20","43","2","1","2","2","0,0002495","0,00031759999999999997","0,00016969999999999998","0,0002495"
"outcomeMonotonicity","21","45","2","1","2","2","0,0001822","0,00016370000000000002","0,0001643","0,0001643"
"superadditivity","2","10","3","1","2","4","0,000249","9,520000000000001E-05","0,00014399999999999998","0,00014399999999999998"
"superadditivity","3","15","4","1","3","6","0,000237","0,0001437","0,0001074","0,0001437"
"superadditivity","4","20","5","1","4","8","0,0002414","0,0002792","0,000245","0,000245"
"superadditivity","5","25","6","1","5","10","0,0003545","0,0003713","0,000421","0,0003713"
"superadditivity","6","30","7","1","6","12","0,0008206999999999999","0,0006544","0,0007495000000000001","0,0007495000000000001"
"superadditivity","7","35","8","1","7","14","0,0011859","0,0010083","0,0008283","0,0010083"
"superadditivity","8","40","9","1","8","16","0,0030095","0,002398","0,0017285999999999998","0,002398"
"superadditivity","9","45","10","1","9","18","0,0039009","0,0039045","0,0039166","0,0039045"
"superadditivity","10","50","11","1","10","20","0,0099412","0,009148400000000001","0,0109105","0,0099412"
"superadditivity","11","55","12","1","11","22","0,0590242","0,032405500000000004","0,0195509","0,032405500000000004"
"superadditivity","12","60","13","1","12","24","0,0463466","0,0466233","0,0460247","0,0463466"
"superadditivity","13","65","14","1","13","26","0,1072021","0,097048","0,0974152","0,0974152"
"superadditivity","14","70","15","1","14","28","0,2059584","0,2207819","0,2246987","0,2207819"
"superadditivity","15","75","16","1","15","30","0,45784339999999996","0,4535533","0,4550874","0,4550874"
"superadditivity","16","80","17","1","16","32","1,0152033","1,0175718","1,138334","1,0175718"
"superadditivity","17","85","18","1","17","34","2,1832738","2,2207471","2,3940722","2,2207471"
"superadditivity","18","90","19","1","18","36","8,3216137","4,8564327","4,7868814","4,8564327"
"superadditivity","19","95","20","1","19","38","10,6786371","10,6481381","10,664582399999999","10,664582399999999"
"superadditivity","20","100","21","1","20","40","21,7988577","22,3379353","21,9967316","21,9967316"
"superadditivity","21","105","22","1","21","42","46,702258199999996","46,088940799999996","46,5144479","46,5144479"
"superadditivityprime","2","10","3","1","2","3","7,549999999999999E-05","8,97E-05","9,48E-05","8,97E-05"
"superadditivityprime","3","15","4","1","3","5","0,0002344","6,769999999999999E-05","0,00011999999999999999","0,00011999999999999999"
"superadditivityprime","4","20","5","1","4","7","0,0001015","0,0001094","0,0001376","0,0001094"
"superadditivityprime","5","25","6","1","5","9","0,0001683","0,0001914","0,0001757","0,0001757"
"superadditivityprime","6","30","7","1","6","11","0,0003463","0,000333","0,000328","0,000333"
"superadditivityprime","7","35","8","1","7","13","0,0005752","0,0006189","0,0014468","0,0006189"
"superadditivityprime","8","40","9","1","8","15","0,003129","0,0018154","0,001788","0,0018154"
"superadditivityprime","9","45","10","1","9","17","0,0035502","0,0024822000000000004","0,0026661000000000002","0,0026661000000000002"
"superadditivityprime","10","50","11","1","10","19","0,0053417000000000004","0,005366699999999999","0,0053015","0,0053417000000000004"
"superadditivityprime","11","55","12","1","11","21","0,0183785","0,0119535","0,011462","0,0119535"
"superadditivityprime","12","60","13","1","12","23","0,025847000000000002","0,026712800000000002","0,026726700000000003","0,026712800000000002"
"superadditivityprime","13","65","14","1","13","25","0,0605976","0,060216500000000006","0,0583761","0,060216500000000006"
"superadditivityprime","14","70","15","1","14","27","0,1257018","0,1277509","0,1286649","0,1277509"
"superadditivityprime","15","75","16","1","15","29","0,2853418","0,29106689999999996","0,28109660000000003","0,2853418"
"superadditivityprime","16","80","17","1","16","31","0,6818194","0,6561106999999999","0,6115290999999999","0,6561106999999999"
"superadditivityprime","17","85","18","1","17","33","1,3210706","1,3797553","1,421344","1,3797553"
"superadditivityprime","18","90","19","1","18","35","2,9490207","2,9823406","2,9638896","2,9638896"
"superadditivityprime","19","95","20","1","19","37","6,4600958","6,2876938","6,3447514","6,3447514"
"superadditivityprime","20","100","21","1","20","39","13,5694805","13,549956700000001","13,657553","13,5694805"
"superadditivityprime","21","105","22","1","21","41","29,5137422","29,6140775","30,3020733","29,6140775"
