family,n,run,pieces,boxes,deepest_box,agents,agents-in-coalitions,expected,valid,genz,agreement,timeout,runtime,status
outcomeMonotonicity,4,2,11,2,1,2,2,True,True,True,True,100,6.0e-2,Completed
outcomeMonotonicity,4,3,11,2,1,2,2,True,True,True,True,100,5.22e-2,Completed
outcomeMonotonicity,5,1,13,2,1,2,2,True,True,True,True,100,5.84e-2,Completed
outcomeMonotonicity,5,2,13,2,1,2,2,True,True,True,True,100,0.1111,Completed
outcomeMonotonicity,5,3,13,2,1,2,2,True,True,True,True,100,5.2e-2,Completed
outcomeMonotonicity,6,1,15,2,1,2,2,True,True,True,True,100,6.88e-2,Completed
outcomeMonotonicity,6,2,15,2,1,2,2,True,True,True,True,100,5.67e-2,Completed
outcomeMonotonicity,6,3,15,2,1,2,2,True,True,True,True,100,7.49e-2,Completed
outcomeMonotonicity,7,1,17,2,1,2,2,True,True,True,True,100,8.1e-2,Completed
outcomeMonotonicity,7,2,17,2,1,2,2,True,True,True,True,100,5.68e-2,Completed
outcomeMonotonicity,7,3,17,2,1,2,2,True,True,True,True,100,7.51e-2,Completed
outcomeMonotonicity,8,1,19,2,1,2,2,True,True,True,True,100,0.1139,Completed
outcomeMonotonicity,8,2,19,2,1,2,2,True,True,True,True,100,0.1232,Completed
outcomeMonotonicity,8,3,19,2,1,2,2,True,True,True,True,100,8.92e-2,Completed
outcomeMonotonicity,9,1,21,2,1,2,2,True,True,True,True,100,0.128,Completed
outcomeMonotonicity,9,2,21,2,1,2,2,True,True,True,True,100,0.1103,Completed
outcomeMonotonicity,9,3,21,2,1,2,2,True,True,True,True,100,6.3e-2,Completed
outcomeMonotonicity,10,1,23,2,1,2,2,True,True,True,True,100,6.99e-2,Completed
outcomeMonotonicity,10,2,23,2,1,2,2,True,True,True,True,100,7.02e-2,Completed
outcomeMonotonicity,10,3,23,2,1,2,2,True,True,True,True,100,0.1012,Completed
outcomeMonotonicity,11,1,25,2,1,2,2,True,True,True,True,100,0.106,Completed
outcomeMonotonicity,11,2,25,2,1,2,2,True,True,True,True,100,9.86e-2,Completed
outcomeMonotonicity,11,3,25,2,1,2,2,True,True,True,True,100,7.23e-2,Completed
outcomeMonotonicity,12,1,27,2,1,2,2,True,True,True,True,100,0.1954,Completed
outcomeMonotonicity,12,2,27,2,1,2,2,True,True,True,True,100,0.2418,Completed
outcomeMonotonicity,12,3,27,2,1,2,2,True,True,True,True,100,0.1371,Completed
outcomeMonotonicity,13,1,29,2,1,2,2,True,True,True,True,100,0.1307,Completed
outcomeMonotonicity,13,2,29,2,1,2,2,True,True,True,True,100,0.1291,Completed
outcomeMonotonicity,13,3,29,2,1,2,2,True,True,True,True,100,0.1736,Completed
outcomeMonotonicity,14,1,31,2,1,2,2,True,True,True,True,100,0.1422,Completed
outcomeMonotonicity,14,2,31,2,1,2,2,True,True,True,True,100,0.1311,Completed
outcomeMonotonicity,14,3,31,2,1,2,2,True,True,True,True,100,0.1203,Completed
outcomeMonotonicity,15,1,33,2,1,2,2,True,True,True,True,100,0.1796,Completed
outcomeMonotonicity,15,2,33,2,1,2,2,True,True,True,True,100,0.1457,Completed
outcomeMonotonicity,15,3,33,2,1,2,2,True,True,True,True,100,0.141,Completed
outcomeMonotonicity,16,1,35,2,1,2,2,True,True,True,True,100,0.105,Completed
outcomeMonotonicity,16,2,35,2,1,2,2,True,True,True,True,100,0.1616,Completed
outcomeMonotonicity,16,3,35,2,1,2,2,True,True,True,True,100,0.1757,Completed
outcomeMonotonicity,17,1,37,2,1,2,2,True,True,True,True,100,0.2829,Completed
outcomeMonotonicity,17,2,37,2,1,2,2,True,True,True,True,100,0.141,Completed
outcomeMonotonicity,17,3,37,2,1,2,2,True,True,True,True,100,9.67e-2,Completed
outcomeMonotonicity,18,1,39,2,1,2,2,True,True,True,True,100,0.1378,Completed
outcomeMonotonicity,18,2,39,2,1,2,2,True,True,True,True,100,0.114,Completed
outcomeMonotonicity,18,3,39,2,1,2,2,True,True,True,True,100,0.1061,Completed
outcomeMonotonicity,19,1,41,2,1,2,2,True,True,True,True,100,0.1988,Completed
outcomeMonotonicity,19,2,41,2,1,2,2,True,True,True,True,100,0.1253,Completed
outcomeMonotonicity,19,3,41,2,1,2,2,True,True,True,True,100,0.2041,Completed
outcomeMonotonicity,20,1,43,2,1,2,2,True,True,True,True,100,0.2495,Completed
outcomeMonotonicity,20,2,43,2,1,2,2,True,True,True,True,100,0.3176,Completed
outcomeMonotonicity,20,3,43,2,1,2,2,True,True,True,True,100,0.1697,Completed
outcomeMonotonicity,21,1,45,2,1,2,2,True,True,True,True,100,0.1822,Completed
outcomeMonotonicity,21,2,45,2,1,2,2,True,True,True,True,100,0.1637,Completed
outcomeMonotonicity,21,3,45,2,1,2,2,True,True,True,True,100,0.1643,Completed
coalitionMonotonicity,2,1,5,2,1,2,3,True,True,True,True,100,4.2e-2,Completed
coalitionMonotonicity,2,2,5,2,1,2,3,True,True,True,True,100,6.33e-2,Completed
coalitionMonotonicity,2,3,5,2,1,2,3,True,True,True,True,100,4.66e-2,Completed
coalitionMonotonicity,3,1,5,2,1,3,4,True,True,True,True,100,9.2e-2,Completed
coalitionMonotonicity,3,2,5,2,1,3,4,True,True,True,True,100,4.31e-2,Completed
coalitionMonotonicity,3,3,5,2,1,3,4,True,True,True,True,100,4.98e-2,Completed
coalitionMonotonicity,4,1,5,2,1,4,5,True,True,True,True,100,5.26e-2,Completed
coalitionMonotonicity,4,2,5,2,1,4,5,True,True,True,True,100,4.81e-2,Completed
coalitionMonotonicity,4,3,5,2,1,4,5,True,True,True,True,100,5.72e-2,Completed
coalitionMonotonicity,5,1,5,2,1,5,6,True,True,True,True,100,5.48e-2,Completed
coalitionMonotonicity,5,2,5,2,1,5,6,True,True,True,True,100,4.24e-2,Completed
coalitionMonotonicity,5,3,5,2,1,5,6,True,True,True,True,100,5.46e-2,Completed
coalitionMonotonicity,6,1,5,2,1,6,7,True,True,True,True,100,4.14e-2,Completed
coalitionMonotonicity,6,2,5,2,1,6,7,True,True,True,True,100,6.82e-2,Completed
coalitionMonotonicity,6,3,5,2,1,6,7,True,True,True,True,100,4.03e-2,Completed
coalitionMonotonicity,7,1,5,2,1,7,8,True,True,True,True,100,9.07e-2,Completed
coalitionMonotonicity,7,2,5,2,1,7,8,True,True,True,True,100,4.44e-2,Completed
coalitionMonotonicity,7,3,5,2,1,7,8,True,True,True,True,100,4.18e-2,Completed
coalitionMonotonicity,8,1,5,2,1,8,9,True,True,True,True,100,4.15e-2,Completed
coalitionMonotonicity,8,2,5,2,1,8,9,True,True,True,True,100,5.6e-2,Completed
coalitionMonotonicity,8,3,5,2,1,8,9,True,True,True,True,100,5.21e-2,Completed
coalitionMonotonicity,9,1,5,2,1,9,10,True,True,True,True,100,5.23e-2,Completed
coalitionMonotonicity,9,2,5,2,1,9,10,True,True,True,True,100,6.93e-2,Completed
coalitionMonotonicity,9,3,5,2,1,9,10,True,True,True,True,100,6.31e-2,Completed
coalitionMonotonicity,10,1,5,2,1,10,11,True,True,True,True,100,5.54e-2,Completed
coalitionMonotonicity,10,2,5,2,1,10,11,True,True,True,True,100,5.51e-2,Completed
coalitionMonotonicity,10,3,5,2,1,10,11,True,True,True,True,100,5.71e-2,Completed
coalitionMonotonicity,11,1,5,2,1,11,12,True,True,True,True,100,5.33e-2,Completed
coalitionMonotonicity,11,2,5,2,1,11,12,True,True,True,True,100,5.45e-2,Completed
coalitionMonotonicity,11,3,5,2,1,11,12,True,True,True,True,100,4.76e-2,Completed
coalitionMonotonicity,12,1,5,2,1,12,13,True,True,True,True,100,4.09e-2,Completed
coalitionMonotonicity,12,2,5,2,1,12,13,True,True,True,True,100,5.53e-2,Completed
coalitionMonotonicity,12,3,5,2,1,12,13,True,True,True,True,100,8.39e-2,Completed
coalitionMonotonicity,13,1,5,2,1,13,14,True,True,True,True,100,4.36e-2,Completed
coalitionMonotonicity,13,2,5,2,1,13,14,True,True,True,True,100,4.95e-2,Completed
coalitionMonotonicity,13,3,5,2,1,13,14,True,True,True,True,100,4.68e-2,Completed
coalitionMonotonicity,14,1,5,2,1,14,15,True,True,True,True,100,4.28e-2,Completed
coalitionMonotonicity,14,2,5,2,1,14,15,True,True,True,True,100,5.53e-2,Completed
coalitionMonotonicity,14,3,5,2,1,14,15,True,True,True,True,100,0.103,Completed
coalitionMonotonicity,15,1,5,2,1,15,16,True,True,True,True,100,0.1285,Completed
coalitionMonotonicity,15,2,5,2,1,15,16,True,True,True,True,100,5.46e-2,Completed
coalitionMonotonicity,15,3,5,2,1,15,16,True,True,True,True,100,5.87e-2,Completed
coalitionMonotonicity,16,1,5,2,1,16,17,True,True,True,True,100,4.17e-2,Completed
coalitionMonotonicity,16,2,5,2,1,16,17,True,True,True,True,100,7.68e-2,Completed
coalitionMonotonicity,16,3,5,2,1,16,17,True,True,True,True,100,5.09e-2,Completed
coalitionMonotonicity,17,1,5,2,1,17,18,True,True,True,True,100,5.07e-2,Completed
coalitionMonotonicity,17,2,5,2,1,17,18,True,True,True,True,100,4.33e-2,Completed
coalitionMonotonicity,17,3,5,2,1,17,18,True,True,True,True,100,5.19e-2,Completed
coalitionMonotonicity,18,1,5,2,1,18,19,True,True,True,True,100,6.19e-2,Completed
coalitionMonotonicity,18,2,5,2,1,18,19,True,True,True,True,100,8.92e-2,Completed
coalitionMonotonicity,18,3,5,2,1,18,19,True,True,True,True,100,4.34e-2,Completed
coalitionMonotonicity,19,1,5,2,1,19,20,True,True,True,True,100,4.55e-2,Completed
coalitionMonotonicity,19,2,5,2,1,19,20,True,True,True,True,100,4.42e-2,Completed
coalitionMonotonicity,19,3,5,2,1,19,20,True,True,True,True,100,5.55e-2,Completed
coalitionMonotonicity,20,1,5,2,1,20,21,True,True,True,True,100,4.28e-2,Completed
coalitionMonotonicity,20,2,5,2,1,20,21,True,True,True,True,100,5.15e-2,Completed
coalitionMonotonicity,20,3,5,2,1,20,21,True,True,True,True,100,9.81e-2,Completed
coalitionMonotonicity,21,1,5,2,1,21,22,True,True,True,True,100,4.67e-2,Completed
coalitionMonotonicity,21,2,5,2,1,21,22,True,True,True,True,100,4.99e-2,Completed
coalitionMonotonicity,21,3,5,2,1,21,22,True,True,True,True,100,5.53e-2,Completed
nestingBox,1,1,4,1,1,2,1,True,True,True,True,100,5.2e-2,Completed
nestingBox,1,2,4,1,1,2,1,True,True,True,True,100,3.43e-2,Completed
nestingBox,1,3,4,1,1,2,1,True,True,True,True,100,3.2e-2,Completed
nestingBox,2,1,5,2,2,2,2,True,True,True,True,100,3.86e-2,Completed
nestingBox,2,2,5,2,2,2,2,True,True,True,True,100,0.1139,Completed
nestingBox,2,3,5,2,2,2,2,True,True,True,True,100,6.73e-2,Completed
nestingBox,3,1,6,3,3,2,3,True,True,True,True,100,4.29e-2,Completed
nestingBox,3,2,6,3,3,2,3,True,True,True,True,100,4.16e-2,Completed
nestingBox,3,3,6,3,3,2,3,True,True,True,True,100,4.39e-2,Completed
nestingBox,4,1,7,4,4,2,4,True,True,True,True,100,2.78e-2,Completed
nestingBox,4,2,7,4,4,2,4,True,True,True,True,100,3.8e-2,Completed
nestingBox,4,3,7,4,4,2,4,True,True,True,True,100,7.04e-2,Completed
nestingBox,5,1,8,5,5,2,5,True,True,True,True,100,0.1045,Completed
nestingBox,5,2,8,5,5,2,5,True,True,True,True,100,3.46e-2,Completed
nestingBox,5,3,8,5,5,2,5,True,True,True,True,100,4.11e-2,Completed
nestingBox,6,1,9,6,6,2,6,True,True,True,True,100,4.51e-2,Completed
nestingBox,6,2,9,6,6,2,6,True,True,True,True,100,3.99e-2,Completed
nestingBox,6,3,9,6,6,2,6,True,True,True,True,100,6.93e-2,Completed
nestingBox,7,1,10,7,7,2,7,True,True,True,True,100,4.36e-2,Completed
nestingBox,7,2,10,7,7,2,7,True,True,True,True,100,4.43e-2,Completed
nestingBox,7,3,10,7,7,2,7,True,True,True,True,100,3.33e-2,Completed
nestingBox,8,1,11,8,8,2,8,True,True,True,True,100,0.174,Completed
nestingBox,8,2,11,8,8,2,8,True,True,True,True,100,3.85e-2,Completed
nestingBox,8,3,11,8,8,2,8,True,True,True,True,100,5.43e-2,Completed
nestingBox,9,1,12,9,9,2,9,True,True,True,True,100,4.13e-2,Completed
nestingBox,9,2,12,9,9,2,9,True,True,True,True,100,4.43e-2,Completed
nestingBox,9,3,12,9,9,2,9,True,True,True,True,100,7.8e-2,Completed
nestingBox,10,1,13,10,10,2,10,True,True,True,True,100,4.25e-2,Completed
nestingBox,10,2,13,10,10,2,10,True,True,True,True,100,3.29e-2,Completed
nestingBox,10,3,13,10,10,2,10,True,True,True,True,100,4.89e-2,Completed
nestingBox,11,1,14,11,11,2,11,True,True,True,True,100,8.55e-2,Completed
nestingBox,11,2,14,11,11,2,11,True,True,True,True,100,4.51e-2,Completed
nestingBox,11,3,14,11,11,2,11,True,True,True,True,100,4.37e-2,Completed
nestingBox,12,1,15,12,12,2,12,True,True,True,True,100,3.33e-2,Completed
nestingBox,12,2,15,12,12,2,12,True,True,True,True,100,5.03e-2,Completed
nestingBox,12,3,15,12,12,2,12,True,True,True,True,100,4.52e-2,Completed
nestingBox,13,1,16,13,13,2,13,True,True,True,True,100,4.29e-2,Completed
nestingBox,13,2,16,13,13,2,13,True,True,True,True,100,8.07e-2,Completed
nestingBox,13,3,16,13,13,2,13,True,True,True,True,100,4.77e-2,Completed
nestingBox,14,1,17,14,14,2,14,True,True,True,True,100,4.31e-2,Completed
nestingBox,14,2,17,14,14,2,14,True,True,True,True,100,4.3e-2,Completed
nestingBox,14,3,17,14,14,2,14,True,True,True,True,100,4.86e-2,Completed
nestingBox,15,1,18,15,15,2,15,True,True,True,True,100,4.51e-2,Completed
nestingBox,15,2,18,15,15,2,15,True,True,True,True,100,4.55e-2,Completed
nestingBox,15,3,18,15,15,2,15,True,True,True,True,100,4.99e-2,Completed
nestingBox,16,1,19,16,16,2,16,True,True,True,True,100,8.63e-2,Completed
nestingBox,16,2,19,16,16,2,16,True,True,True,True,100,4.02e-2,Completed
nestingBox,16,3,19,16,16,2,16,True,True,True,True,100,5.51e-2,Completed
nestingBox,17,1,20,17,17,2,17,True,True,True,True,100,5.18e-2,Completed
nestingBox,17,2,20,17,17,2,17,True,True,True,True,100,4.22e-2,Completed
nestingBox,17,3,20,17,17,2,17,True,True,True,True,100,4.53e-2,Completed
nestingBox,18,1,21,18,18,2,18,True,True,True,True,100,7.46e-2,Completed
nestingBox,18,2,21,18,18,2,18,True,True,True,True,100,5.68e-2,Completed
nestingBox,18,3,21,18,18,2,18,True,True,True,True,100,4.99e-2,Completed
nestingBox,19,1,22,19,19,2,19,True,True,True,True,100,4.42e-2,Completed
nestingBox,19,2,22,19,19,2,19,True,True,True,True,100,5.43e-2,Completed
nestingBox,19,3,22,19,19,2,19,True,True,True,True,100,4.64e-2,Completed
nestingBox,20,1,23,20,20,2,20,True,True,True,True,100,3.7e-2,Completed
nestingBox,20,2,23,20,20,2,20,True,True,True,True,100,3.63e-2,Completed
nestingBox,20,3,23,20,20,2,20,True,True,True,True,100,5.09e-2,Completed
chainCL,2,1,10,3,1,2,4,True,True,True,True,100,5.91e-2,Completed
chainCL,2,2,10,3,1,2,4,True,True,True,True,100,7.59e-2,Completed
chainCL,2,3,10,3,1,2,4,True,True,True,True,100,7.29e-2,Completed
chainCL,3,1,15,4,1,3,6,True,True,True,True,100,9.19e-2,Completed
chainCL,3,2,15,4,1,3,6,True,True,True,True,100,0.1232,Completed
chainCL,3,3,15,4,1,3,6,True,True,True,True,100,0.1384,Completed
chainCL,4,1,20,5,1,4,8,True,True,True,True,100,0.2912,Completed
chainCL,4,2,20,5,1,4,8,True,True,True,True,100,0.198,Completed
chainCL,4,3,20,5,1,4,8,True,True,True,True,100,0.1879,Completed
chainCL,5,1,25,6,1,5,10,True,True,True,True,100,0.4831,Completed
chainCL,5,2,25,6,1,5,10,True,True,True,True,100,0.7582,Completed
chainCL,5,3,25,6,1,5,10,True,True,True,True,100,0.7245,Completed
chainCL,6,1,30,7,1,6,12,True,True,True,True,100,1.77,Completed
chainCL,6,2,30,7,1,6,12,True,True,True,True,100,1.6711,Completed
chainCL,6,3,30,7,1,6,12,True,True,True,True,100,0.8281,Completed
chainCL,7,1,35,8,1,7,14,True,True,True,True,100,1.7293,Completed
chainCL,7,2,35,8,1,7,14,True,True,True,True,100,2.2822,Completed
chainCL,7,3,35,8,1,7,14,True,True,True,True,100,1.7587,Completed
chainCL,8,1,40,9,1,8,16,True,True,True,True,100,4.3803,Completed
chainCL,8,2,40,9,1,8,16,True,True,True,True,100,7.1465,Completed
chainCL,8,3,40,9,1,8,16,True,True,True,True,100,4.041,Completed
chainCL,9,1,45,10,1,9,18,True,True,True,True,100,9.8395,Completed
chainCL,9,2,45,10,1,9,18,True,True,True,True,100,20.4609,Completed
